,Country,State,City,Zip_Code,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,CLTV,churn_probability,monthly_charges,revenue_at_risk,y_true
2288,United States,California,Silverado,92676,33.782346,-117.635263,Male,No,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,107.25,6033.3,5800,0.27215861562465776,107.25,350.2681383089345,0
4659,United States,California,Yucaipa,92399,34.04597,-117.011825,Female,No,No,No,58,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.3,5817.7,6460,0.30437064548562803,95.3,348.0782701773642,0
1169,United States,California,Hathaway Pines,95233,38.184914,-120.364085,Male,No,No,No,12,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),81.7,858.6,2850,0.35472692299379716,81.7,347.77427530311877,1
2379,United States,California,Strathmore,93267,36.141319,-119.129075,Female,Yes,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,3568,0.279006688187016,103.75,347.3633267928349,0
389,United States,California,Arbuckle,95912,38.982373,-122.047751,Male,No,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,106.0,6547.7,4334,0.27215861562465776,106.0,346.18575907456466,1
5243,United States,California,Kelseyville,95451,38.93496,-122.792243,Female,Yes,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.85,6312.9,5061,0.2734511326314605,104.85,344.0562150769036,0
4602,United States,California,Holtville,92250,32.811001,-115.152865,Male,No,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,84.3,2281.6,5471,0.3392849079641533,84.3,343.22061289653743,0
6819,United States,California,Buena Park,90621,33.874224,-117.993368,Female,Yes,Yes,No,13,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,45.3,528.45,4118,0.6298120857166197,45.3,342.3658497955545,0
102,United States,California,Holtville,92250,32.811001,-115.152865,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,4020,0.2847692750645855,99.45,339.84365286207634,1
134,United States,California,Sun City,92586,33.707483,-117.200006,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,2115,0.3744131975036011,75.6,339.66765277526684,1
6365,United States,California,Clements,95227,38.227285,-121.02789,Female,No,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.85,3532.25,4294,0.3375457775293707,83.85,339.6385613500528,0
144,United States,California,Anaheim,92806,33.83796,-117.870494,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,75.3,75.3,3244,0.3744131975036011,75.3,338.31976526425393,1
5821,United States,California,Earp,92242,34.137742,-114.36514,Male,No,No,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.4,4445.3,4334,0.2949574960724787,95.4,337.6673415037736,0
4783,United States,California,Glennville,93226,35.735694,-118.738483,Female,No,No,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,57.55,161.45,4099,0.4885945614079967,57.55,337.4234041083625,0
6434,United States,California,Cazadero,95421,38.578807,-123.19338,Male,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),95.65,5088.4,4465,0.29344168373699414,95.65,336.8123645933219,0
3551,United States,California,Santa Barbara,93109,34.406256,-119.726936,Male,Yes,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.4,581.7,4537,0.4312860627787433,64.4,333.29786931541287,0
63,United States,California,La Puente,91746,34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,2314,0.6740929054803146,41.15,332.86707672617933,1
6537,United States,California,Madison,95653,38.674276,-121.961866,Female,Yes,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),56.55,118.25,2069,0.4885945614079967,56.55,331.5602693714665,0
4354,United States,California,Beverly Hills,90211,34.063947,-118.383001,Female,No,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,94.15,4408.45,3924,0.2929174232127337,94.15,330.9381047457465,0
3777,United States,California,San Francisco,94132,37.722302,-122.491129,Female,Yes,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,2974.5,2440,0.27215861562465776,101.3,330.83601315333397,0
6282,United States,California,Bodega Bay,94923,38.377165,-123.037957,Male,No,No,No,35,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.95,4025.5,5903,0.2527927927927928,108.95,330.50129729729736,0
605,United States,California,Alpaugh,93201,35.869626,-119.498771,Female,No,Yes,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.75,633.4,2655,0.5640395738551931,48.75,329.96315070528794,1
528,United States,California,San Diego,92103,32.747484,-117.166877,Female,No,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,4235,0.2728993563653985,100.45,328.9528841628514,1
2639,United States,California,San Pablo,94806,37.980269,-122.342635,Female,No,No,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.15,649.4,3000,0.5536480075901328,49.15,326.54159487666027,0
2929,United States,California,Roseville,95747,38.784329,-121.373245,Female,Yes,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.8,5458.8,6019,0.2772029063832342,97.8,325.3253309313636,0
2273,United States,California,Costa Mesa,92627,33.645672,-117.922613,Female,No,No,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.95,601.6,3880,0.4574834502968856,58.95,323.6237927400169,0
5081,United States,California,Inverness,94937,38.099323,-122.945723,Female,No,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,3442,0.530712988061404,50.35,320.65678738670033,0
4034,United States,California,Lucerne,95458,39.141934,-122.770679,Female,Yes,No,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,3465.05,4738,0.2527927927927928,105.35,319.58064864864866,0
810,United States,California,Weimar,95736,39.00978,-120.978273,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.5,53.5,5094,0.49756969785432775,53.5,319.4397460224784,1
931,United States,California,Rowland Heights,91748,33.976753,-117.897367,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.75,50.75,5355,0.52276119316085,50.75,318.3615666349577,1
1698,United States,California,Bangor,95914,39.396585,-121.38029,Male,No,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.5,50.5,2077,0.524347793744421,50.5,317.75476300911913,1
4543,United States,California,El Cajon,92019,32.785165,-116.862648,Male,Yes,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.25,2575.45,4121,0.3663211258923479,72.25,317.60041614866566,0
2058,United States,California,Covina,91724,34.08111,-117.853935,Male,No,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,99.0,4298.45,2887,0.2673382473382474,99.0,317.5978378378379,0
791,United States,California,Herald,95638,38.313447,-121.123886,Female,Yes,Yes,No,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.05,3444.85,5746,0.3720602563271305,71.05,317.21857454451145,1
1340,United States,California,Long Beach,90802,33.752524,-118.210737,Female,Yes,Yes,No,40,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),99.2,4062.2,5098,0.26509331937903363,99.2,315.5670873888016,1
4437,United States,California,Pasadena,91101,34.146635,-118.139225,Male,Yes,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,100.75,6674.65,4368,0.26097494215527,100.75,315.51870506572146,0
3934,United States,California,Stockton,95209,38.044523,-121.348048,Female,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,5875,0.29270094299625343,89.8,315.4145361727627,0
6154,United States,California,Monterey,93940,36.362741,-121.869685,Female,Yes,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.55,2419.0,5873,0.3720602563271305,70.55,314.98621300654867,0
5214,United States,California,Twain Harte,95383,38.107441,-120.230625,Male,No,Yes,No,17,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,49.8,836.35,5575,0.5252598979907137,49.8,313.8953150392505,0
2406,United States,California,Buellton,93427,34.631362,-120.238218,Male,No,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,5593,0.29270094299625343,89.15,313.1314688173919,0
5732,United States,California,San Gabriel,91776,34.089927,-118.095645,Female,No,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),105.75,4228.55,4078,0.24523723723723725,105.75,311.20605405405405,0
5838,United States,California,Twentynine Palms,92278,34.457829,-116.139589,Female,No,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,98.0,5270.6,4615,0.2644952176428754,98.0,311.0463759480215,0
5592,United States,California,South Gate,90280,33.944624,-118.192615,Female,Yes,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.1,5437.1,4118,0.26097494215527,99.1,310.35140121104706,0
303,United States,California,Valley Springs,95252,38.156971,-120.849231,Male,No,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,94.4,5610.25,4990,0.27215861562465776,94.4,308.30127977961234,1
120,United States,California,Victorville,92392,34.486835,-117.362274,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,5671,0.3720602563271305,69.0,308.0658922388641,1
1307,United States,California,Los Angeles,90028,34.099869,-118.326843,Female,Yes,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),104.4,6405.0,4412,0.24523723723723725,104.4,307.2332108108109,1
4868,United States,California,Lone Pine,93545,36.590415,-118.073839,Male,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.0,4052.4,4958,0.3456378491406239,74.0,306.926410036874,0
3505,United States,California,Santa Ana,92704,33.719869,-117.907063,Male,No,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.15,3956.7,3738,0.2527927927927928,101.15,306.83989189189197,0
4685,United States,California,San Jacinto,92583,33.796568,-116.924723,Male,No,No,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.3,238.5,3684,0.4574834502968856,55.3,303.5860176170133,0
297,United States,California,Stockton,95209,38.044523,-121.348048,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,3958,0.7099996653870745,35.55,302.885857254126,1
3562,United States,California,Farmersville,93223,36.29878,-119.201028,Male,No,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,5789,0.256420910706625,97.7,300.6278757124471,0
1553,United States,California,San Francisco,94122,37.760412,-122.484966,Female,No,No,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),106.95,5785.5,5550,0.23421977161107596,106.95,300.5976548856549,1
6725,United States,California,Tahoe City,96145,39.178337,-120.162806,Male,No,Yes,No,14,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),66.6,979.5,3516,0.3744131975036011,66.6,299.23102744487795,0
581,United States,California,Newport Coast,92657,33.603282,-117.821841,Male,No,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,111.3,7482.1,4146,0.22387301587301586,111.3,299.00479999999993,1
4201,United States,California,Maxwell,95955,39.281194,-122.226568,Male,No,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,69.6,1394.55,3349,0.35645000732151566,69.6,297.7070461149298,0
482,United States,California,Northridge,91325,34.236683,-118.517588,Female,No,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,2643,0.7061535115409207,35.1,297.43185906103577,1
2732,United States,California,Mountain Ranch,95246,38.264262,-120.515133,Female,No,No,No,5,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.8,283.95,2182,0.4574834502968856,53.8,295.3513155116693,0
3839,United States,California,Oakland,94605,37.758019,-122.138678,Male,Yes,Yes,No,33,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,93.55,3055.5,4414,0.2621197715639239,93.55,294.25565555766093,0
6677,United States,California,Mccloud,96057,41.251322,-122.105209,Female,No,Yes,No,26,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.05,1959.5,2753,0.3352855456175886,73.05,293.91130928837816,0
6876,United States,California,Newbury Park,91320,34.172071,-118.946262,Male,No,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,90.35,434.5,4014,0.27096636525207957,90.35,293.78173320630464,0
365,United States,California,Jackson,95642,38.336216,-120.76901,Female,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.95,49.95,2041,0.4885945614079967,49.95,292.8635801079532,1
16,United States,California,Los Angeles,90063,34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,5302,0.3015898318851423,80.65,291.87863929844076,1
1641,United States,California,Clearlake,95422,38.965804,-122.631779,Male,Yes,No,No,46,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.0,3969.4,2097,0.2842760918045252,85.0,289.9616136406157,1
115,United States,California,Phelan,92371,34.441123,-117.537886,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,55.95,734.35,4498,0.4312860627787433,55.95,289.56546254964826,1
4313,United States,California,Los Angeles,90003,33.964131,-118.272783,Female,No,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.0,241.3,4264,0.3015898318851423,80.0,289.52623860973665,0
7028,United States,California,Pioneertown,92268,34.201108,-116.593456,Male,No,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.8,3626.35,2770,0.2840285343238448,84.8,289.0274365279445,0
4780,United States,California,Exeter,93221,36.301689,-119.018233,Male,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.9,1332.4,5074,0.5236455108359133,45.9,288.423947368421,0
6954,United States,California,Spring Valley,91978,32.730264,-116.950963,Male,No,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,4869.5,5871,0.2668971011828155,89.4,286.3272101489245,0
6025,United States,California,Visalia,93291,36.391777,-119.372842,Female,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,48.6,48.6,3704,0.4906319128511207,48.6,286.1365315747736,0
6576,United States,California,El Dorado Hills,95762,38.684437,-121.055634,Female,No,No,No,55,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.1,4144.9,5832,0.32287109715681145,73.1,283.222526425955,0
399,United States,California,Oroville,95966,39.473896,-121.415927,Female,No,No,No,2,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.6,72.4,4648,0.5497355498079772,42.6,281.02481306183796,1
3409,United States,California,Death Valley,92328,36.27688,-117.033326,Female,No,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,5257,0.29344168373699414,78.85,277.6545211519438,0
6620,United States,California,Forest Ranch,95942,40.077028,-121.494168,Female,No,No,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.3,3190.65,2299,0.2840285343238448,81.3,277.098238086343,0
6991,United States,California,San Diego,92116,32.765299,-117.122565,Female,Yes,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,94.0,4871.45,6355,0.24523723723723725,94.0,276.62760360360363,0
5850,United States,California,Colton,92324,34.030915,-117.273201,Female,No,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,4860,0.3259515746308199,70.4,275.36389024811666,0
1685,United States,California,Wheatland,95692,39.043387,-121.409837,Male,No,No,No,1,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.65,44.65,3704,0.5126330229464583,44.65,274.66877369471234,1
3424,United States,California,Nipton,92364,35.478736,-115.516984,Female,No,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,1790.65,4732,0.2847692750645855,80.15,273.8910887571183,0
1599,United States,California,Hollister,95023,36.875409,-121.279679,Male,No,No,No,3,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,40.15,130.75,4710,0.5666017111925965,40.15,272.98870445259297,1
881,United States,California,Los Angeles,90068,34.137411,-118.328915,Female,No,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,2833,0.41363900395521397,54.9,272.50537580569494,1
3187,United States,California,Cerritos,90703,33.8681,-118.067402,Female,Yes,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.05,1652.4,3225,0.3416378491406239,66.05,270.7821592288585,0
194,United States,California,Bass Lake,93604,37.458367,-119.345011,Female,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,52.2,52.2,4138,0.4312860627787433,52.2,270.1575897246048,1
4643,United States,California,Highland,92346,34.129677,-117.154277,Male,No,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.0,749.25,2597,0.4574834502968856,49.0,269.0002687745687,0
406,United States,California,Callahan,96014,41.388397,-122.794636,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,5930,0.4885945614079967,45.85,268.8247276866798,1
3869,United States,California,Nicasio,94946,38.065359,-122.665566,Male,Yes,Yes,No,41,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,53.95,2215.4,3920,0.41363900395521397,53.95,267.7898911606055,0
915,United States,California,Valencia,91355,34.43987,-118.644609,Male,No,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.3,123.65,4849,0.5146703743895822,43.3,267.4227265328269,1
5712,United States,California,Covina,91724,34.08111,-117.853935,Female,No,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.2,3382.3,5135,0.24412612612612614,91.2,267.17163243243243,0
3685,United States,California,Kingsburg,93631,36.478239,-119.52137,Male,Yes,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,90.65,5199.8,5636,0.24523723723723725,90.65,266.7690666666667,0
2586,United States,California,Danville,94526,37.815459,-121.977203,Female,No,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.1,2723.75,4970,0.256420910706625,86.1,264.9340849420849,0
11,United States,California,Los Angeles,90039,34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,2454,0.3165187936337762,69.7,264.73631899529045,1
477,United States,California,Glendale,91204,34.136306,-118.26036,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.1,45.1,4499,0.4885945614079967,45.1,264.4273766340078,1
1872,United States,California,Los Angeles,90007,34.027337,-118.28515,Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,4459,0.24723723723723726,89.1,264.34605405405404,0
261,United States,California,Oakland,94606,37.792489,-122.244314,Male,No,Yes,No,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,57.45,990.85,2989,0.3825107144157662,57.45,263.7028865182292,1
6394,United States,California,Gustine,95322,37.147198,-121.120161,Female,Yes,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,99.1,3877.95,4599,0.22110044998781736,99.1,262.9326551255124,0
2449,United States,California,Olancha,93549,36.296851,-117.865469,Male,No,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,3277,0.2949574960724787,74.25,262.80712900057847,0
980,United States,California,Apple Valley,92307,34.55082,-117.122396,Female,No,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.6,249.95,2353,0.4312860627787433,50.6,261.8768973192529,1
5862,United States,California,Hinkley,92347,34.983808,-117.239306,Female,No,No,No,18,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.3,913.3,5877,0.4312860627787433,50.3,260.32426749324947,0
2381,United States,California,Terra Bella,93270,35.939068,-119.043666,Female,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.9,49.9,4667,0.4312860627787433,49.9,258.2540943919115,0
6521,United States,California,Esparto,95627,38.834469,-122.127193,Female,No,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,647.5,4843,0.283375546841589,75.85,257.9284227352143,0
33,United States,California,Los Alamitos,90720,33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,3964,0.30437064548562803,70.45,257.31494369354994,1
2797,United States,California,Elk,95432,39.108252,-123.645121,Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,92.75,5870,0.4251667347543636,50.3,256.63064109773387,0
15,United States,California,Los Angeles,90061,33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,2966,0.21306330902604195,99.1,253.37488709376908,1
3017,United States,California,Dorris,96023,41.949216,-122.050062,Male,No,No,No,12,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.25,832.3,4334,0.3125187936337762,67.25,252.20266646245742,0
220,United States,California,Pebble Beach,93953,36.587497,-121.944815,Male,No,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,85.55,5084.65,6304,0.24523723723723725,85.55,251.76054774774775,1
4131,United States,California,Somerset,95684,38.606703,-120.586659,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.8,45.8,2614,0.4574834502968856,45.8,251.4329042831683,0
3556,United States,California,California Hot Springs,93207,35.865795,-118.69759,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.2,45.2,4576,0.4623971738898545,45.2,250.8042271178571,0
1164,United States,California,Arnold,95223,38.32153,-120.236358,Female,No,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.45,50.45,2806,0.41363900395521397,50.45,250.41705299448654,1
4495,United States,California,Rancho Cucamonga,91730,34.10097,-117.57882,Female,No,No,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.05,472.65,4668,0.29344168373699414,71.05,250.1883795541612,0
2644,United States,California,Corte Madera,94925,37.924014,-122.511694,Female,No,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.3,4209.95,3280,0.20985941043083897,99.3,250.0684734693877,0
2023,United States,California,San Fernando,91340,34.286131,-118.435969,Male,No,No,Yes,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,5566,0.2614652014652014,78.3,245.67270329670325,0
6364,United States,California,Campo Seco,95226,38.233879,-120.861666,Female,No,Yes,No,19,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,59.8,1130.85,3652,0.3415457775293707,59.8,245.0932499550764,0
875,United States,California,Los Angeles,90049,34.091829,-118.491244,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.15,44.15,4773,0.4623971738898545,44.15,244.97802272684493,1
7035,United States,California,Westmorland,92281,33.03679,-115.60503,Male,No,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.5,2625.25,4591,0.29270094299625343,69.5,244.11258645887534,0
2938,United States,California,Sacramento,95819,38.567594,-121.437507,Male,No,No,No,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,69.5,1199.4,4466,0.29270094299625343,69.5,244.11258645887534,0
3837,United States,California,Oakland,94602,37.803883,-122.208417,Female,No,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.15,6557.75,5186,0.18572082679225538,109.15,243.2571389324961,0
